sample_id,meme_anxiety_categories
TR-318,Restlessness
TR-1732,Lack of Worry Control
TR-1417,Nervousness
TR-1582,Nervousness
TR-649,Lack of Worry Control
TR-2259,Impending Doom
TR-1923,Lack of Worry Control
TR-1027,Excessive Worry
TR-1544,Excessive Worry
TR-277,Impending Doom
TR-1663,Difficulty Relaxing
TR-1267,Impending Doom
TR-2543,Restlessness
TR-1258,Impending Doom
TR-867,Restlessness
TR-1366,Difficulty Relaxing
TR-993,Restlessness
TR-887,Lack of Worry Control
TR-1518,Lack of Worry Control
TR-2402,Difficulty Relaxing
TR-834,Impending Doom
TR-1774,Lack of Worry Control
TR-95,Nervousness
TR-613,Restlessness
TR-2286,Irritatbily
TR-598,Lack of Worry Control
TR-1566,Difficulty Relaxing
TR-2074,Impending Doom
TR-1361,Lack of Worry Control
TR-2009,Difficulty Relaxing
TR-2266,Restlessness
TR-1008,Irritatbily
TR-260,Lack of Worry Control
TR-2284,Nervousness
TR-2536,Lack of Worry Control
TR-2394,Nervousness
TR-1418,Excessive Worry
TR-1112,Restlessness
TR-1046,Difficulty Relaxing
TR-324,Excessive Worry
TR-2050,Excessive Worry
TR-531,Restlessness
TR-15,Difficulty Relaxing
TR-1951,Excessive Worry
TR-2383,Restlessness
TR-2458,Lack of Worry Control
TR-1662,Lack of Worry Control
TR-1567,Difficulty Relaxing
TR-174,Impending Doom
TR-273,Lack of Worry Control
TR-2421,Lack of Worry Control
TR-1745,Excessive Worry
TR-2245,Excessive Worry
TR-103,Excessive Worry
TR-1169,Lack of Worry Control
TR-2332,Difficulty Relaxing
TR-912,Difficulty Relaxing
TR-11,Impending Doom
TR-1817,Restlessness
TR-2167,Excessive Worry
TR-214,Difficulty Relaxing
TR-1730,Lack of Worry Control
TR-363,Impending Doom
TR-2249,Excessive Worry
TR-1943,Restlessness
TR-1290,Difficulty Relaxing
TR-517,Lack of Worry Control
TR-1870,Nervousness
TR-1097,Impending Doom
TR-118,Difficulty Relaxing
TR-1836,Difficulty Relaxing
TR-1506,Restlessness
TR-1627,Restlessness
TR-2453,Impending Doom
TR-2189,Restlessness
TR-1378,Difficulty Relaxing
TR-1754,Impending Doom
TR-1468,Nervousness
TR-32,Impending Doom
TR-905,Excessive Worry
TR-1442,Excessive Worry
