sample_id,top_3_train_indices
TR-1,"[4024, 5128, 5548]"
TR-2,"[394, 6118, 6176]"
TR-3,"[549, 5372, 7378]"
TR-4,"[542, 1526, 5944]"
TR-5,"[151, 5694, 7083]"
TR-6,"[6423, 8536, 7507]"
TR-7,"[399, 7368, 5305]"
TR-8,"[1022, 3592, 5144]"
TR-9,"[1714, 5849, 7899]"
TR-10,"[2255, 5666, 1846]"
TR-11,"[1867, 3507, 6507]"
TR-12,"[4701, 1242, 1365]"
TR-13,"[1293, 130, 1216]"
TR-14,"[805, 5801, 241]"
TR-15,"[3516, 569, 476]"
TR-16,"[6554, 379, 2260]"
TR-17,"[4542, 72, 361]"
TR-18,"[4603, 501, 6642]"
TR-19,"[8427, 7100, 2469]"
TR-20,"[5052, 7578, 5093]"
TR-21,"[1043, 1136, 926]"
TR-22,"[2262, 352, 1103]"
TR-23,"[6096, 2287, 3478]"
TR-24,"[983, 5694, 1319]"
TR-25,"[39, 3826, 4573]"
TR-26,"[416, 1640, 724]"
TR-27,"[586, 3415, 5575]"
TR-28,"[446, 773, 1836]"
TR-29,"[1800, 6995, 2129]"
TR-30,"[4842, 4426, 1623]"
TR-31,"[7864, 148, 1940]"
TR-32,"[2699, 4562, 1994]"
TR-33,"[1656, 1134, 2610]"
TR-34,"[6284, 8093, 4118]"
TR-35,"[2069, 5512, 5142]"
TR-36,"[488, 7579, 5659]"
TR-37,"[970, 2470, 1413]"
TR-38,"[4953, 959, 7400]"
TR-39,"[3362, 6912, 4703]"
TR-40,"[24, 4774, 4758]"
TR-41,"[455, 56, 461]"
TR-42,"[5440, 6284, 6384]"
TR-43,"[8010, 4880, 4051]"
TR-44,"[426, 5383, 3160]"
TR-45,"[199, 304, 486]"
TR-46,"[6860, 2664, 8713]"
TR-47,"[5394, 288, 5231]"
TR-48,"[5233, 7399, 7852]"
TR-49,"[2198, 5315, 1978]"
TR-50,"[5266, 8359, 5164]"
TR-51,"[1608, 8131, 4028]"
TR-52,"[749, 462, 14]"
TR-53,"[126, 5744, 168]"
TR-54,"[2867, 7748, 95]"
TR-55,"[40, 743, 1191]"
TR-56,"[799, 40, 455]"
TR-57,"[455, 461, 40]"
TR-58,"[1158, 832, 537]"
TR-59,"[4551, 6679, 4003]"
TR-60,"[7783, 7816, 1855]"
TR-61,"[379, 7589, 7695]"
TR-62,"[5576, 2691, 7844]"
TR-63,"[6322, 5942, 1440]"
TR-64,"[1067, 2049, 823]"
TR-65,"[4997, 1948, 8471]"
TR-66,"[6864, 622, 6144]"
TR-67,"[465, 1290, 5238]"
TR-68,"[1352, 2863, 3292]"
TR-69,"[282, 73, 317]"
TR-70,"[238, 733, 7751]"
TR-71,"[3601, 8537, 445]"
TR-72,"[1280, 734, 1278]"
TR-73,"[259, 361, 16]"
TR-74,"[68, 282, 317]"
TR-75,"[6271, 2335, 2649]"
TR-76,"[7684, 7665, 3090]"
TR-77,"[5595, 7892, 5839]"
TR-78,"[1420, 4308, 2801]"
TR-79,"[1011, 1548, 1109]"
TR-80,"[383, 54, 743]"
TR-81,"[782, 587, 100]"
TR-82,"[5560, 2060, 8328]"
TR-83,"[5241, 5395, 6293]"
TR-84,"[5753, 7782, 547]"
TR-85,"[1027, 2362, 792]"
TR-86,"[1032, 5502, 787]"
TR-87,"[1713, 1722, 6078]"
TR-88,"[6140, 119, 529]"
TR-89,"[1423, 1154, 1172]"
TR-90,"[666, 224, 2606]"
TR-91,"[6567, 6457, 2855]"
TR-92,"[1423, 1327, 1205]"
TR-93,"[5740, 903, 5924]"
TR-94,"[1982, 1723, 7381]"
TR-95,"[5692, 8638, 5331]"
TR-96,"[3595, 168, 126]"
TR-97,"[5755, 191, 5747]"
TR-98,"[1852, 1104, 1335]"
TR-99,"[7420, 6308, 314]"
